CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,165,11,372.86,3,Loyal Customers
12347.0,3,2,1323.32,0,New Customers
12348.0,74,1,222.16,2,Lost Customers
12349.0,43,3,2671.14,3,Loyal Customers
12351.0,11,1,300.93,0,New Customers
12352.0,11,2,343.8,0,New Customers
12353.0,44,1,317.76,0,New Customers
12355.0,203,1,488.21,2,Lost Customers
12356.0,16,3,3560.3,3,Loyal Customers
12357.0,24,2,12079.99,3,Loyal Customers
12358.0,11,3,2719.01,3,Loyal Customers
12359.0,61,6,2563.36,3,Loyal Customers
12360.0,15,5,1590.83,3,Loyal Customers
12361.0,98,3,321.35,2,Lost Customers
12362.0,374,1,130.0,2,Lost Customers
12366.0,269,1,500.24,2,Lost Customers
12368.0,264,1,917.7,2,Lost Customers
12369.0,49,3,1791.15,3,Loyal Customers
12370.0,260,3,774.62,3,Loyal Customers
12371.0,45,3,2179.42,3,Loyal Customers
12373.0,260,2,763.0500000000001,2,Lost Customers
12374.0,57,3,2246.29,3,Loyal Customers
12376.0,25,2,503.15,0,New Customers
12377.0,17,2,1798.2,0,New Customers
12378.0,198,1,1407.7,2,Lost Customers
12379.0,58,2,767.98,3,Loyal Customers
12380.0,101,7,6951.49,3,Loyal Customers
12385.0,15,1,1938.4,0,New Customers
12386.0,2,1,258.90000000000003,0,New Customers
12387.0,51,1,143.94,2,Lost Customers
12388.0,81,2,1120.45,3,Loyal Customers
12389.0,38,3,1433.33,3,Loyal Customers
12391.0,100,5,2285.18,3,Loyal Customers
12392.0,227,1,234.75000000000003,2,Lost Customers
12393.0,18,2,816.85,0,New Customers
12395.0,7,4,2048.64,1,VIP Customers
12396.0,310,1,931.43,2,Lost Customers
12399.0,21,3,853.65,0,New Customers
12400.0,50,1,205.25,2,Lost Customers
12402.0,28,5,1031.3,3,Loyal Customers
12403.0,157,1,591.6600000000001,2,Lost Customers
12404.0,318,1,63.24,2,Lost Customers
12406.0,35,3,2975.06,3,Loyal Customers
12408.0,21,3,1452.22,3,Loyal Customers
12409.0,56,4,12346.62,3,Loyal Customers
12410.0,138,1,320.38,2,Lost Customers
12411.0,45,1,346.9,0,New Customers
12412.0,38,3,1370.05,3,Loyal Customers
12413.0,38,1,241.35,0,New Customers
12414.0,99,3,390.0,2,Lost Customers
